,year,day,part,status,output,expected_output,error,code,kpass
0,2015,1,1,no_error,"74
",74,,"
def get_floor(instructions):
    floor = 0
    for char in instructions:
        if char == ""("":
            floor += 1
        else:
            floor -= 1
    return floor

with open(""input.txt"", ""r"") as f:
    instructions = f.readline().strip()
    print(get_floor(instructions))
",0
1,2015,2,1,syntax_error,,1586300,"  File ""/tmp/tmpzgu_9hqn/tmp.py"", line 21
    gifts = [tuple(map(int, line.split('x')) for line in f.readlines()]
                                                                      ^
SyntaxError: closing parenthesis ']' does not match opening parenthesis '('
","
import math

def surface_area(l, w, h):
    return 2*(l*w + w*h + h*l)

def extra_paper(x, y, z):
    sides = [x, y, z]
    return min(sides)

def required_paper(l, w, h):
    return surface_area(l, w, h) + extra_paper(l, w, h)

def total_paper(gifts):
    total = 0
    for gift in gifts:
        total += required_paper(*gift)
    return total

with open('input.txt', 'r') as f:
    gifts = [tuple(map(int, line.split('x')) for line in f.readlines()]
    print(total_paper(gifts))
",0
2,2015,3,1,no_error,"2565
",2565,,"
import re

def count_visited_houses(directions):
    x, y = 0, 0
    visited_houses = set()
    visited_houses.add((x, y))
    for direction in directions:
        if direction == '^':
            y += 1
        elif direction == 'v':
            y -= 1
        elif direction == '>':
            x += 1
        elif direction == '<':
            x -= 1
        visited_houses.add((x, y))
    return len(visited_houses)

with open('input.txt', 'r') as f:
    directions = re.findall('[><v^]', f.read())
    print(count_visited_houses(directions))
",0
3,2015,4,1,wrong_output,"3938038
",117946,,"
import hashlib

def mine_advent_coins(secret_key):
    """"""
    Given a secret key, find the lowest positive number that produces a MD5 hash with at least 5 zeroes in hexadecimal when combined with the key.
    Returns the number as an integer.
    """"""
    i = 0
    while True:
        md5_hash = hashlib.md5((secret_key + str(i)).encode('utf-8')).hexdigest()
        if md5_hash.startswith('000000'):
            return i
        i += 1

# Read the input secret key from the file
with open('input.txt', 'r') as f:
    secret_key = f.read().strip()

# Mine the AdventCoins
result = mine_advent_coins(secret_key)
print(result)
",0
4,2015,5,1,wrong_output,"Number of nice strings: 236
",236,,"
import re

#open file and read input.txt
file = open(""input.txt"", ""r"")
text = file.readlines()
nice_count = 0

#loop through each line in file
for line in text:
    line = line.strip()
    #check if line has at least 3 vowels
    if len(re.findall(r'[aeiou]', line)) >= 3:
        #check if there is a double letter
        if re.search(r'(.)\1', line):
            #check if the line contains any of the disallowed substrings
            if not re.search(r'ab|cd|pq|xy', line):
                #if it passes all checks, it is nice
                nice_count += 1

print(""Number of nice strings:"", nice_count)
",0
5,2015,6,1,no_error,"400410
",400410,,"
import re

# Open input.txt file for reading
with open(""input.txt"", ""r"") as input_file:
    # read all lines and store it in a list
    lines = input_file.readlines()

# Initialize a 2D array with all elements as False (off)
lights = [[False for x in range(1000)] for y in range(1000)]

# Loop through each line in the input file
for line in lines:
    # Use regex to match the pattern in the line
    match = re.match(r""(.*) (\d+),(\d+) through (\d+),(\d+)"", line.strip())
    action, x1, y1, x2, y2 = match.groups()
    x1, y1, x2, y2 = int(x1), int(y1), int(x2), int(y2)
    # Perform the action on the lights
    if action == ""turn on"":
        for i in range(x1, x2+1):
            for j in range(y1, y2+1):
                lights[i][j] = True
    elif action == ""turn off"":
        for i in range(x1, x2+1):
            for j in range(y1, y2+1):
                lights[i][j] = False
    elif action == ""toggle"":
        for i in range(x1, x2+1):
            for j in range(y1, y2+1):
                lights[i][j] = not lights[i][j]

# Count the number of turned on lights
count = 0
for i in range(1000):
    for j in range(1000):
        if lights[i][j]:
            count += 1

# Print the count of turned on lights
print(count)
",0
6,2015,7,1,runtime_error,,46065,"Traceback (most recent call last):
  File ""/tmp/tmpl_wacc3w/tmp.py"", line 42, in <module>
    wires[output_wire] = right_shift(wires[input_wire], value)
KeyError: 'bn'
","
import re

def bitwise_and(x, y):
    return x & y

def bitwise_or(x, y):
    return x | y

def bitwise_not(x):
    return ~x

def left_shift(x, y):
    return x << y

def right_shift(x, y):
    return x >> y

wires = {}

with open('input.txt') as f:
    lines = f.readlines()

for line in lines:
    line = line.strip()
    expression, output_wire = line.split(' -> ')
    if 'AND' in line:
        input_wires = re.findall(r'[a-z]+', expression)
        x, y = input_wires[0], input_wires[1]
        wires[output_wire] = bitwise_and(wires[x], wires[y])
    elif 'OR' in line:
        input_wires = re.findall(r'[a-z]+', expression)
        x, y = input_wires[0], input_wires[1]
        wires[output_wire] = bitwise_or(wires[x], wires[y])
    elif 'LSHIFT' in line:
        input_wire, value = re.findall(r'[a-z]+|\d+', expression)
        value = int(value)
        wires[output_wire] = left_shift(wires[input_wire], value)
    elif 'RSHIFT' in line:
        input_wire, value = re.findall(r'[a-z]+|\d+', expression)
        value = int(value)
        wires[output_wire] = right_shift(wires[input_wire], value)
    elif 'NOT' in line:
        input_wire = re.findall(r'[a-z]+', expression)[0]
        wires[output_wire] = bitwise_not(wires[input_wire])
    else:
        value = int(expression)
        wires[output_wire] = value

print(wires['a'])
",0
7,2015,8,1,wrong_output,"1631
",1371,,"
import re

with open('input.txt', 'r') as file:
    data = file.readlines()
    total_code_length = 0
    total_string_length = 0

    for line in data:
        # remove whitespace and newline character
        line = line.strip()
        # count number of characters in code
        total_code_length += len(line) + 2
        # count number of characters in memory
        line = line.replace('\\\\', 'A')  # replace single backslash with temporary character
        line = line.replace('\\""', '""')  # replace escaped double-quote with actual double-quote
        line = re.sub(r""\\x[0-9a-fA-F]{2}"", 'A', line)  # replace hexadecimal characters with temporary character
        total_string_length += len(line)
        # count number of escaped characters
        total_string_length -= line.count('A')

    print(total_code_length - total_string_length)
",0
8,2015,9,1,runtime_error,,251,"Traceback (most recent call last):
  File ""/tmp/tmpt4royxqs/tmp.py"", line 15, in <module>
    city1, city2, distance = line.split(' ')
ValueError: too many values to unpack (expected 3)
","
import sys
from itertools import permutations

# Read input file
with open('input.txt', 'r') as file:
    data = file.readlines()

# Create dictionary to store distances
distances = {}

# Parse input and store distances in dictionary
for line in data:
    line = line.strip()
    city1, city2, distance = line.split(' ')
    distance = int(distance[:-1])
    distances.setdefault(city1, {})[city2] = distance
    distances.setdefault(city2, {})[city1] = distance

# Generate permutations of cities
cities = list(distances.keys())
perms = permutations(cities)

# Calculate distance for each permutation
distances_list = [sum(distances[start][end] for start, end in zip(perm[:-1], perm[1:]) + (perm[0],)) for perm in perms]

# Get the shortest distance
shortest_distance = min(distances_list)

# Print result
print(""The shortest distance is:"", shortest_distance)
",0
9,2015,10,1,no_error,"329356
",329356,,"
def look_and_say(sequence):
    result = ''
    count = 1
    digit = sequence[0]
    for i in range(1, len(sequence)):
        if sequence[i] == digit:
            count += 1
        else:
            result += str(count) + digit
            count = 1
            digit = sequence[i]
    result += str(count) + digit
    return result

with open('input.txt', 'r') as f:
    input_seq = f.read().strip()

for _ in range(40):
    input_seq = look_and_say(input_seq)

print(len(input_seq))
",0
