,year,day,part,status,output,expected_output,error,code,kpass
0,2015,1,1,no_error,"74
",74,,"
def get_floor(instructions):
    floor = 0
    for char in instructions:
        if char == ""("":
            floor += 1
        else:
            floor -= 1
    return floor

with open(""input.txt"", ""r"") as f:
    instructions = f.readline().strip()
    print(get_floor(instructions))
",0
1,2015,2,1,wrong_output,"Total wrapping paper needed: 1586300 square feet
",1586300,,"
import math

def get_input_file(file_name):
    with open(file_name, 'r') as file:
        return file.readlines()

def calculate_wrapping_paper(dimensions):
    l, w, h = [int(dim) for dim in dimensions.split('x')]
    sides = [l * w, w * h, h * l]
    area = sum(2 * sides) + min(sides)
    return area

def main():
    input_file = get_input_file('input.txt')
    wrapping_paper_needed = sum(calculate_wrapping_paper(dimensions) for dimensions in input_file)
    print(f""Total wrapping paper needed: {wrapping_paper_needed} square feet"")

if __name__ == ""__main__"":
    main()
",2
2,2015,3,1,no_error,"2565
",2565,,"
import re

def count_visited_houses(directions):
    x, y = 0, 0
    visited_houses = set()
    visited_houses.add((x, y))
    for direction in directions:
        if direction == '^':
            y += 1
        elif direction == 'v':
            y -= 1
        elif direction == '>':
            x += 1
        elif direction == '<':
            x -= 1
        visited_houses.add((x, y))
    return len(visited_houses)

with open('input.txt', 'r') as f:
    directions = re.findall('[><v^]', f.read())
    print(count_visited_houses(directions))
",0
3,2015,4,1,wrong_output,"3938038
",117946,,"
import hashlib

def generate_md5(key, num):
    return hashlib.md5((key + str(num)).encode()).hexdigest()

def find_number(key):
    num = 0
    while True:
        md5_hash = generate_md5(key, num)
        if md5_hash.startswith(""000000""):
            return num
        num += 1

with open(""input.txt"", ""r"") as file:
    key = file.read().strip()

print(find_number(key))
",2
4,2015,5,1,no_error,"236
",236,,"
import re

def is_nice(s):
    if not re.search(r'[aeiou].*[aeiou].*[aeiou]', s):
        return False
    if not re.search(r'(.)\1', s):
        return False
    if re.search(r'ab|cd|pq|xy', s):
        return False
    return True

def count_nice_strings():
    with open('input.txt', 'r') as f:
        count = 0
        for line in f:
            if is_nice(line.strip()):
                count += 1
    return count

print(count_nice_strings())
",1
5,2015,6,1,no_error,"400410
",400410,,"
import re

# Open input.txt file for reading
with open(""input.txt"", ""r"") as input_file:
    # read all lines and store it in a list
    lines = input_file.readlines()

# Initialize a 2D array with all elements as False (off)
lights = [[False for x in range(1000)] for y in range(1000)]

# Loop through each line in the input file
for line in lines:
    # Use regex to match the pattern in the line
    match = re.match(r""(.*) (\d+),(\d+) through (\d+),(\d+)"", line.strip())
    action, x1, y1, x2, y2 = match.groups()
    x1, y1, x2, y2 = int(x1), int(y1), int(x2), int(y2)
    # Perform the action on the lights
    if action == ""turn on"":
        for i in range(x1, x2+1):
            for j in range(y1, y2+1):
                lights[i][j] = True
    elif action == ""turn off"":
        for i in range(x1, x2+1):
            for j in range(y1, y2+1):
                lights[i][j] = False
    elif action == ""toggle"":
        for i in range(x1, x2+1):
            for j in range(y1, y2+1):
                lights[i][j] = not lights[i][j]

# Count the number of turned on lights
count = 0
for i in range(1000):
    for j in range(1000):
        if lights[i][j]:
            count += 1

# Print the count of turned on lights
print(count)
",0
6,2015,7,1,runtime_error,,46065,"Traceback (most recent call last):
  File ""/tmp/tmpfidomh0g/tmp.py"", line 57, in <module>
    main()
  File ""/tmp/tmpfidomh0g/tmp.py"", line 52, in main
    eval_line(line, wires)
  File ""/tmp/tmpfidomh0g/tmp.py"", line 33, in eval_line
    x, _, shift, _, dest = re.findall(r'(\w+) | (\d+)', line)
ValueError: not enough values to unpack (expected 5, got 3)
","
import re

def bitwise_not(x):
    return 65535 - x

def bitwise_and(x, y):
    return x & y

def bitwise_or(x, y):
    return x | y

def bitwise_lshift(x, y):
    return x << y

def bitwise_rshift(x, y):
    return x >> y

def eval_line(line, wires):
    if 'AND' in line:
        x, _, y, _, dest = re.findall(r'(\w+)', line)
        wires[dest] = bitwise_and(wires[x], wires[y])
        return
    elif 'OR' in line:
        x, _, y, _, dest = re.findall(r'(\w+)', line)
        wires[dest] = bitwise_or(wires[x], wires[y])
        return
    elif 'LSHIFT' in line:
        x, _, shift, _, dest = re.findall(r'(\w+) | (\d+)', line)
        wires[dest] = bitwise_lshift(wires[x], int(shift))
        return
    elif 'RSHIFT' in line:
        x, _, shift, _, dest = re.findall(r'(\w+) | (\d+)', line)
        wires[dest] = bitwise_rshift(wires[x], int(shift))
        return
    elif 'NOT' in line:
        x, _, dest = re.findall(r'(\w+)', line)
        wires[dest] = bitwise_not(wires[x])
        return
    else:
        x, _, dest = re.findall(r'(\d+) -> (\w+)', line)
        wires[dest] = int(x)
        return

def main():
    with open('input.txt', 'r') as file:
        circuit_lines = file.readlines()

    wires = {}
    for line in circuit_lines:
        line = line.strip()
        eval_line(line, wires)

    print(wires['a'])

if __name__ == '__main__':
    main()
",2
7,2015,8,1,no_error,"1371
",1371,,"
import re

def count_string_literals(file_path):
    with open(file_path) as f:
        lines = f.readlines()
        total_code = 0
        total_memory = 0

        for line in lines:
            line = line.strip()
            code = len(line)
            line = line[1:-1] # Remove the opening and closing quotes
            line = re.sub(r'\\\\', '-', line) # Replace \ with - to avoid counting it as an escape character
            line = re.sub(r'\\""', '-', line) # Replace \"" with - to avoid counting it as an escape character
            line = re.sub(r'\\x[0-9a-fA-F]{2}', '-', line) # Replace hexadecimal escape sequences with - to avoid counting it as an escape character
            memory = len(line)
            total_code += code
            total_memory += memory

        return total_code - total_memory

result = count_string_literals('input.txt')
print(result)
",2
8,2015,9,1,syntax_error,,251,"  File ""/tmp/tmp_8vd14wy/tmp.py"", line 18
    return None
    ^
SyntaxError: invalid syntax
","
import itertools
from collections import defaultdict
from heapq import heappop, heapify

def dijkstra(graph, start, end):
    queue = [(0, start, [])]
    visited = set()
    while queue:
        (cost, current, path) = heappop(queue)
        if current not in visited:
            visited.add(current)
            path = path + [current]
            if current == end:
                return (cost, path)
            for neighbor, distance in graph[current]:
                heapq.heappush(queue, (cost + distance, neighbor, path + [neighbor])
    return None

def read_input(filename):
    graph = defaultdict(list)
    with open(filename, 'r') as file:
        for line in file:
            city1, city2, dist = line.strip().split(' = ')
            dist = int(dist)
            graph[city1].append((city2, dist))
            graph[city2].append((city1, dist))
    return graph

def shortest_path(graph):
    cities = list(graph.keys())
    min_cost = float('inf')
    for perm in itertools.permutations(cities, len(cities)):
        start, *cities_to_visit, end = perm
        cost, path = dijkstra(graph, start, end)
        for city in cities_to_visit:
            cost += graph[path[-1]][cities.index(city)][1]
            path.append(city)
        if cost < min_cost:
            min_cost = cost
    return min_cost

# Read input file
graph = read_input('input.txt')

# Find shortest path
shortest = shortest_path(graph)

# Print answer
print(f""The shortest distance Santa can travel is {shortest} km."")
",2
9,2015,10,1,no_error,"329356
",329356,,"
def look_and_say(sequence):
    result = ''
    count = 1
    digit = sequence[0]
    for i in range(1, len(sequence)):
        if sequence[i] == digit:
            count += 1
        else:
            result += str(count) + digit
            count = 1
            digit = sequence[i]
    result += str(count) + digit
    return result

with open('input.txt', 'r') as f:
    input_seq = f.read().strip()

for _ in range(40):
    input_seq = look_and_say(input_seq)

print(len(input_seq))
",0
