,Unnamed: 0,id,status,output,expected_output,error,code,difficulty
0,0,1,wrong_output,,233168,,"
sum(i for i in range(1000) if i % 3 == 0 or i % 5 == 0)
",5
1,1,2,no_error,"4613732
",4613732,,"
def even_fibonacci_sum(limit):
    a, b = 0, 1
    sum = 0
    while a < limit:
        if a % 2 == 0:
            sum += a
        a, b = b, a + b
    return sum

print(even_fibonacci_sum(4000000))
",5
2,2,3,no_error,"6857
",6857,,"
def max_Prime_Factors (n):
    maxPrime = -1
    while n%2 == 0:
        maxPrime = 2
        n >>= 1
    for i in range(3,int(n**0.5)+1,2):
        while n % i == 0:
            maxPrime = i
            n = n / i
    if n > 2:
        maxPrime = n
    return int(maxPrime)

print(max_Prime_Factors(600851475143))
",5
3,3,4,no_error,"906609
",906609,,"
def is_palindrome(n):
    return str(n) == str(n)[::-1]

def largest_palindrome_product(n):
    return max(i * j for i in range(10 ** (n - 1), 10 ** n) for j in range(i, 10 ** n) if is_palindrome(i * j))

print(largest_palindrome_product(3))
",5
4,4,5,runtime_error,,232792560,"  File ""/tmp/tmpy_8b3vka/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
def smallest_multiple(n):
    """"""Find the smallest positive number that is evenly divisible by all of the numbers from 1 to n.""""""
    # Initialize the smallest multiple to 1.
    smallest_multiple = 1

    # Iterate over the numbers from 2 to n.
    for i in range(2, n + 1):
        # Find the least common multiple of the smallest multiple and the current number.
        smallest_multiple = lcm(smallest_multiple, i)

    # Return the smallest multiple.
    return smallest_multiple


def lcm(a, b):
    """"""Find the least common multiple of two numbers.""""""
    # Find the greatest common divisor of the two numbers.
    gcd = _gcd(a, b)

    # The least common multiple is the product of the two numbers divided by the greatest common divisor.
    lcm = (a * b) // gcd

    # Return the least common multiple.
    return lcm


def _gcd(a, b):
    """"""Find the greatest common divisor of two numbers.""""""
    # If b is 0, then the greatest common divisor is a.
    if b ==",5
5,5,6,wrong_output,,25164150,,"
def sum_square_difference(n):
    return sum(range(1, n + 1)) ** 2 - sum(i ** 2 for i in range(1, n + 1))
",5
6,6,7,no_error,"104743
",104743,,"
def is_prime(n):
    if n <= 1:
        return False
    for i in range(2, int(n ** 0.5) + 1):
        if n % i == 0:
            return False
    return True

def nth_prime(n):
    count = 0
    i = 2
    while count < n:
        if is_prime(i):
            count += 1
        i += 1
    return i - 1

print(nth_prime(10001))
",5
7,7,8,runtime_error,,23514624000,"  File ""/tmp/tmpssdh01i6/tmp.py"", line 1
    ```python
IndentationError: unexpected indent
"," ```python
def max_product(n, k):
    a = [int(c) for c in str(n)]
    max_prod = 0
    for i in range(len(a) - k + 1):
        prod = 1
        for j in range(i, i + k):
            prod *= a[j]
        max_prod = max(max_prod, prod)
    return max_prod

print(max_product(73167176531330624919225119674426574742355349194934969835203127745063262395783180169848018694788518438586156078911294949545950173795833195285320880551",5
8,8,9,wrong_output,,31875000,,"
def special_pythagorean_triplet():
    for a in range(1, 1000):
        for b in range(a + 1, 1000):
            c = 1000 - a - b
            if a**2 + b**2 == c**2:
                return a * b * c
",5
9,9,10,no_error,"142913828922
",142913828922,,"
def sum_primes(limit):
    sum = 0
    for i in range(2, limit):
        if all(i % j for j in range(2, int(i ** 0.5) + 1)):
            sum += i
    return sum

print(sum_primes(2000000))
",5
